,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
181,Lauri Markkanen,CHI,vs.LAL,2021-01-23,L,36,12,5,14,35.7,0,5,0.0,2,2,100,0,7,7,1,1,0,2,3,-14,2020-21
182,Kyle Kuzma,LAL,@CHI,2021-01-23,W,23,4,2,7,28.6,0,3,0.0,0,0,-,1,4,5,1,0,0,1,2,9,2020-21
183,Chandler Hutchison,CHI,vs.LAL,2021-01-23,L,7,0,0,2,0.0,0,0,-,0,0,-,0,2,2,0,0,0,1,0,4,2020-21
184,Coby White,CHI,vs.LAL,2021-01-23,L,32,14,5,13,38.5,2,4,50.0,2,2,100,0,7,7,4,0,0,2,4,-9,2020-21
185,Daniel Gafford,CHI,vs.LAL,2021-01-23,L,18,4,1,2,50.0,0,0,-,2,2,100,1,0,1,0,0,0,1,4,-5,2020-21
186,Talen Horton-Tucker,LAL,@CHI,2021-01-23,W,21,10,3,6,50.0,0,0,-,4,4,100,0,2,2,0,1,0,2,2,3,2020-21
187,Patrick Williams,CHI,vs.LAL,2021-01-23,L,31,13,5,12,41.7,2,4,50.0,1,2,50.0,4,4,8,1,0,1,1,2,-3,2020-21
188,Thaddeus Young,CHI,vs.LAL,2021-01-23,L,23,6,3,5,60.0,0,0,-,0,2,0.0,1,3,4,2,3,0,2,4,-17,2020-21
189,Garrett Temple,CHI,vs.LAL,2021-01-23,L,22,2,0,3,0.0,0,1,0.0,2,2,100,0,2,2,1,0,0,0,3,-20,2020-21
190,Wesley Matthews,LAL,@CHI,2021-01-23,W,19,4,1,3,33.3,0,2,0.0,2,3,66.7,0,0,0,0,1,0,0,0,8,2020-21
191,Anthony Davis,LAL,@CHI,2021-01-23,W,28,37,14,21,66.7,2,3,66.7,7,9,77.8,1,5,6,3,2,1,1,3,5,2020-21
192,Tomas Satoransky,CHI,vs.LAL,2021-01-23,L,12,5,1,1,100,1,1,100,2,4,50.0,0,1,1,3,1,0,1,1,8,2020-21
193,Boban Marjanovic,DAL,vs.HOU,2021-01-23,L,19,15,6,11,54.5,0,0,-,3,4,75.0,4,8,12,0,0,0,1,2,9,2020-21
194,James Johnson,DAL,vs.HOU,2021-01-23,L,16,5,2,3,66.7,1,1,100,0,0,-,0,1,1,1,0,1,0,4,-7,2020-21
195,Trey Burke,DAL,vs.HOU,2021-01-23,L,24,13,4,9,44.4,1,4,25.0,4,4,100,0,1,1,1,3,0,0,2,-16,2020-21
196,Willie Cauley-Stein,DAL,vs.HOU,2021-01-23,L,18,6,3,4,75.0,0,0,-,0,0,-,1,2,3,0,0,1,0,3,-26,2020-21
197,Wes Iwundu,DAL,vs.HOU,2021-01-23,L,23,1,0,2,0.0,0,2,0.0,1,2,50.0,0,3,3,0,1,0,0,3,-7,2020-21
198,Luka Doncic,DAL,vs.HOU,2021-01-23,L,29,26,9,18,50.0,1,6,16.7,7,12,58.3,0,5,5,8,0,1,3,0,-15,2020-21
199,Tyler Bey,DAL,vs.HOU,2021-01-23,L,7,5,2,3,66.7,0,0,-,1,2,50.0,2,0,2,0,0,1,0,2,-7,2020-21
200,Nate Hinton,DAL,vs.HOU,2021-01-23,L,7,5,2,7,28.6,0,2,0.0,1,2,50.0,0,0,0,0,0,0,1,1,-7,2020-21
201,P.J. Tucker,HOU,@DAL,2021-01-23,W,25,6,3,5,60.0,0,1,0.0,0,0,-,1,5,6,1,0,0,0,3,12,2020-21
202,Eric Gordon,HOU,@DAL,2021-01-23,W,30,33,10,17,58.8,6,9,66.7,7,9,77.8,0,3,3,2,0,0,2,1,9,2020-21
203,John Wall,HOU,@DAL,2021-01-23,W,21,7,3,9,33.3,0,4,0.0,1,2,50.0,1,0,1,8,0,0,1,1,10,2020-21
204,DeMarcus Cousins,HOU,@DAL,2021-01-23,W,30,28,9,15,60.0,4,8,50.0,6,7,85.7,4,13,17,5,0,0,4,5,9,2020-21
205,Sterling Brown,HOU,@DAL,2021-01-23,W,18,4,2,6,33.3,0,2,0.0,0,0,-,1,2,3,3,1,1,0,3,3,2020-21
206,Rodions Kurucs,HOU,@DAL,2021-01-23,W,5,2,1,2,50.0,0,0,-,0,0,-,0,2,2,0,1,0,1,1,5,2020-21
207,Brodric Thomas,HOU,@DAL,2021-01-23,W,5,5,1,2,50.0,1,2,50.0,2,2,100,0,1,1,0,1,1,1,0,7,2020-21
208,Tim Hardaway Jr.,DAL,vs.HOU,2021-01-23,L,31,15,4,13,30.8,1,6,16.7,6,6,100,0,2,2,0,0,0,0,1,-19,2020-21
209,Ben McLemore,HOU,@DAL,2021-01-23,W,20,0,0,3,0.0,0,3,0.0,0,0,-,0,2,2,3,0,0,2,2,7,2020-21
210,Jae'Sean Tate,HOU,@DAL,2021-01-23,W,20,6,3,3,100,0,0,-,0,0,-,1,3,4,0,0,0,2,1,18,2020-21
211,Kenyon Martin Jr.,HOU,@DAL,2021-01-23,W,20,8,3,9,33.3,0,2,0.0,2,2,100,4,2,6,0,1,3,0,4,14,2020-21
212,Mason Jones,HOU,@DAL,2021-01-23,W,19,16,6,8,75.0,3,4,75.0,1,2,50.0,0,5,5,3,0,0,1,4,16,2020-21
213,Josh Green,DAL,vs.HOU,2021-01-23,L,20,6,2,5,40.0,1,3,33.3,1,2,50.0,2,0,2,0,1,0,3,2,-17,2020-21
214,Tyrell Terry,DAL,vs.HOU,2021-01-23,L,12,2,1,4,25.0,0,1,0.0,0,0,-,0,2,2,2,1,0,0,1,-4,2020-21
215,Jalen Brunson,DAL,vs.HOU,2021-01-23,L,33,9,2,4,50.0,0,0,-,5,6,83.3,1,2,3,3,1,0,2,2,-9,2020-21
216,David Nwaba,HOU,@DAL,2021-01-23,W,27,18,6,7,85.7,2,2,100,4,5,80.0,1,1,2,3,1,0,0,3,15,2020-21
217,Juwan Morgan,UTA,vs.GSW,2021-01-23,W,10,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,1,0,-21,2020-21
218,Derrick Favors,UTA,vs.GSW,2021-01-23,W,14,9,4,6,66.7,0,0,-,1,2,50.0,4,4,8,1,0,1,0,2,2,2020-21
219,Donovan Mitchell,UTA,vs.GSW,2021-01-23,W,27,23,9,18,50.0,3,8,37.5,2,3,66.7,2,5,7,6,1,0,2,1,28,2020-21
220,Mychal Mulder,GSW,@UTA,2021-01-23,L,12,5,2,2,100,1,1,100,0,0,-,0,1,1,1,2,1,0,2,17,2020-21
221,Eric Paschall,GSW,@UTA,2021-01-23,L,14,4,2,6,33.3,0,2,0.0,0,0,-,0,1,1,2,0,0,3,4,2,2020-21
222,Jordan Poole,GSW,@UTA,2021-01-23,L,18,10,3,7,42.9,1,4,25.0,3,3,100,0,3,3,4,2,0,1,0,10,2020-21
223,Mike Conley,UTA,vs.GSW,2021-01-23,W,27,17,6,11,54.5,5,9,55.6,0,0,-,1,0,1,1,3,0,2,3,40,2020-21
224,Bojan Bogdanovic,UTA,vs.GSW,2021-01-23,W,26,14,3,13,23.1,3,9,33.3,5,6,83.3,1,6,7,8,0,0,1,1,36,2020-21
225,Brad Wanamaker,GSW,@UTA,2021-01-23,L,14,3,1,4,25.0,0,2,0.0,1,1,100,0,0,0,0,1,1,0,0,-17,2020-21
226,Stephen Curry,GSW,@UTA,2021-01-23,L,27,24,9,18,50.0,5,10,50.0,1,2,50.0,0,7,7,7,0,0,1,2,-24,2020-21
227,Draymond Green,GSW,@UTA,2021-01-23,L,25,4,2,9,22.2,0,3,0.0,0,0,-,1,3,4,6,0,0,2,2,-26,2020-21
228,Kent Bazemore,GSW,@UTA,2021-01-23,L,10,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,1,1,1,-4,2020-21
229,Andrew Wiggins,GSW,@UTA,2021-01-23,L,25,13,5,9,55.6,2,3,66.7,1,2,50.0,1,4,5,2,0,3,0,2,-27,2020-21
230,Kelly Oubre Jr.,GSW,@UTA,2021-01-23,L,24,5,2,8,25.0,0,2,0.0,1,2,50.0,0,2,2,1,0,0,1,3,-29,2020-21
231,Kevon Looney,GSW,@UTA,2021-01-23,L,13,5,2,2,100,1,1,100,0,0,-,2,1,3,1,0,0,0,1,-2,2020-21
232,Damion Lee,GSW,@UTA,2021-01-23,L,15,9,3,4,75.0,1,2,50.0,2,2,100,0,1,1,0,0,0,1,1,-10,2020-21
233,Juan Toscano-Anderson,GSW,@UTA,2021-01-23,L,9,3,1,4,25.0,1,4,25.0,0,0,-,0,1,1,1,0,0,0,1,4,2020-21
234,James Wiseman,GSW,@UTA,2021-01-23,L,25,15,7,15,46.7,0,2,0.0,1,3,33.3,0,5,5,0,0,2,1,2,-10,2020-21
235,Nico Mannion,GSW,@UTA,2021-01-23,L,10,8,3,5,60.0,2,3,66.7,0,0,-,0,0,0,4,1,0,0,0,21,2020-21
236,Royce O'Neale,UTA,vs.GSW,2021-01-23,W,26,9,3,6,50.0,3,6,50.0,0,0,-,0,4,4,3,0,0,1,2,26,2020-21
237,Georges Niang,UTA,vs.GSW,2021-01-23,W,18,7,3,7,42.9,1,2,50.0,0,0,-,0,4,4,0,1,0,4,4,-13,2020-21
238,Shaquille Harrison,UTA,vs.GSW,2021-01-23,W,10,2,1,2,50.0,0,0,-,0,0,-,0,2,2,2,0,0,1,0,-21,2020-21
239,Udoka Azubuike,UTA,vs.GSW,2021-01-23,W,10,4,1,2,50.0,0,0,-,2,2,100,2,2,4,0,0,1,1,3,-21,2020-21
240,Miye Oni,UTA,vs.GSW,2021-01-23,W,11,1,0,3,0.0,0,3,0.0,1,2,50.0,0,3,3,0,0,0,1,1,-19,2020-21
241,Rudy Gobert,UTA,vs.GSW,2021-01-23,W,24,11,4,6,66.7,0,0,-,3,4,75.0,4,10,14,2,0,1,0,1,38,2020-21
242,Jordan Clarkson,UTA,vs.GSW,2021-01-23,W,19,14,5,10,50.0,1,5,20.0,3,3,100,0,2,2,1,1,0,1,1,12,2020-21
243,Joe Ingles,UTA,vs.GSW,2021-01-23,W,18,13,5,8,62.5,3,6,50.0,0,0,-,0,0,0,3,0,1,1,1,8,2020-21
244,Goran Dragic,MIA,@BKN,2021-01-23,L,31,19,7,18,38.9,0,6,0.0,5,5,100,0,1,1,7,0,0,1,4,0,2020-21
245,Maurice Harkless,MIA,@BKN,2021-01-23,L,10,6,2,2,100,2,2,100,0,0,-,0,1,1,0,0,0,0,0,-7,2020-21
246,Kelly Olynyk,MIA,@BKN,2021-01-23,L,22,5,2,9,22.2,1,8,12.5,0,0,-,1,5,6,4,3,0,0,1,-5,2020-21
247,KZ Okpala,MIA,@BKN,2021-01-23,L,10,3,1,2,50.0,1,2,50.0,0,0,-,0,2,2,0,0,1,0,0,-2,2020-21
248,Precious Achiuwa,MIA,@BKN,2021-01-23,L,10,7,1,1,100,0,0,-,5,6,83.3,1,1,2,0,0,0,1,3,-8,2020-21
249,Kevin Durant,BKN,vs.MIA,2021-01-23,W,37,31,11,19,57.9,4,7,57.1,5,6,83.3,1,3,4,4,0,2,4,4,6,2020-21
250,DeAndre Jordan,BKN,vs.MIA,2021-01-23,W,21,8,4,4,100,0,0,-,0,0,-,2,6,8,2,0,1,0,1,7,2020-21
251,Kyrie Irving,BKN,vs.MIA,2021-01-23,W,36,28,10,17,58.8,3,5,60.0,5,6,83.3,1,5,6,7,0,1,2,5,5,2020-21
