,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
771,Abdel Nader,PHX,@HOU,2021-01-20,W,12,5,2,3,66.7,0,1,0.0,1,1,100,0,2,2,1,0,0,0,1,2,2020-21
772,Mason Jones,HOU,vs.PHX,2021-01-20,L,12,8,3,5,60.0,2,3,66.7,0,0,-,0,0,0,0,2,0,3,0,-15,2020-21
773,Cameron Johnson,PHX,@HOU,2021-01-20,W,28,8,3,9,33.3,2,7,28.6,0,0,-,1,2,3,3,2,1,2,1,9,2020-21
774,Deandre Ayton,PHX,@HOU,2021-01-20,W,36,26,11,15,73.3,0,0,-,4,4,100,6,11,17,3,0,5,2,3,-5,2020-21
775,Sterling Brown,HOU,vs.PHX,2021-01-20,L,21,4,2,3,66.7,0,0,-,0,0,-,0,1,1,2,2,0,1,0,8,2020-21
776,David Nwaba,HOU,vs.PHX,2021-01-20,L,22,9,2,5,40.0,0,1,0.0,5,5,100,3,3,6,2,1,1,0,3,8,2020-21
777,Ben McLemore,HOU,vs.PHX,2021-01-20,L,13,4,1,4,25.0,1,4,25.0,1,1,100,0,2,2,0,0,0,1,1,-7,2020-21
778,Jevon Carter,PHX,@HOU,2021-01-20,W,8,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
779,Mikal Bridges,PHX,@HOU,2021-01-20,W,34,8,3,7,42.9,1,3,33.3,1,1,100,0,5,5,5,1,1,3,2,-5,2020-21
780,Cameron Payne,PHX,@HOU,2021-01-20,W,18,10,3,7,42.9,1,3,33.3,3,3,100,0,2,2,5,0,1,0,3,1,2020-21
781,Devin Booker,PHX,@HOU,2021-01-20,W,35,24,10,18,55.6,1,4,25.0,3,4,75.0,0,5,5,2,0,1,6,5,8,2020-21
782,Frank Kaminsky,PHX,@HOU,2021-01-20,W,12,4,2,6,33.3,0,2,0.0,0,0,-,1,1,2,1,0,1,0,4,11,2020-21
783,Jae'Sean Tate,HOU,vs.PHX,2021-01-20,L,37,9,3,5,60.0,1,3,33.3,2,2,100,1,5,6,0,0,0,2,4,5,2020-21
784,Christian Wood,HOU,vs.PHX,2021-01-20,L,34,20,8,18,44.4,2,6,33.3,2,3,66.7,1,10,11,2,2,2,2,1,3,2020-21
785,Victor Oladipo,HOU,vs.PHX,2021-01-20,L,31,22,7,22,31.8,1,5,20.0,7,7,100,1,4,5,6,3,1,2,4,4,2020-21
786,Eric Gordon,HOU,vs.PHX,2021-01-20,L,34,22,9,20,45.0,3,7,42.9,1,2,50.0,1,1,2,2,0,0,1,0,-4,2020-21
787,P.J. Tucker,HOU,vs.PHX,2021-01-20,L,21,2,1,2,50.0,0,0,-,0,0,-,0,0,0,0,1,0,2,3,-23,2020-21
788,Jarrell Brantley,UTA,vs.NOP,2021-01-19,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,2020-21
789,Miye Oni,UTA,vs.NOP,2021-01-19,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,2020-21
790,Udoka Azubuike,UTA,vs.NOP,2021-01-19,W,2,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,0,0,2020-21
791,Donovan Mitchell,UTA,vs.NOP,2021-01-19,W,33,28,9,15,60.0,4,7,57.1,6,6,100,0,7,7,4,0,0,5,4,5,2020-21
792,Shaquille Harrison,UTA,vs.NOP,2021-01-19,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,1,0,0,2020-21
793,Royce O'Neale,UTA,vs.NOP,2021-01-19,W,35,6,2,8,25.0,2,7,28.6,0,0,-,0,1,1,1,0,2,0,3,18,2020-21
794,Bojan Bogdanovic,UTA,vs.NOP,2021-01-19,W,29,11,4,11,36.4,3,8,37.5,0,0,-,0,7,7,3,1,0,3,2,2,2020-21
795,Derrick Favors,UTA,vs.NOP,2021-01-19,W,16,9,4,6,66.7,0,0,-,1,2,50.0,3,4,7,0,0,0,0,3,-6,2020-21
796,Naji Marshall,NOP,@UTA,2021-01-19,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
797,Kira Lewis Jr.,NOP,@UTA,2021-01-19,L,4,4,1,3,33.3,0,0,-,2,2,100,0,0,0,0,0,0,0,0,0,2020-21
798,Sindarius Thornwell,NOP,@UTA,2021-01-19,L,3,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
799,Lonzo Ball,NOP,@UTA,2021-01-19,L,23,7,3,10,30.0,0,6,0.0,1,2,50.0,1,0,1,4,3,0,0,2,6,2020-21
800,Brandon Ingram,NOP,@UTA,2021-01-19,L,35,17,8,18,44.4,0,1,0.0,1,2,50.0,0,3,3,4,0,2,1,2,-18,2020-21
801,Willy Hernangomez,NOP,@UTA,2021-01-19,L,3,2,1,2,50.0,0,0,-,0,0,-,2,1,3,0,0,0,0,0,2,2020-21
802,Steven Adams,NOP,@UTA,2021-01-19,L,24,6,3,6,50.0,0,0,-,0,0,-,5,4,9,1,1,0,1,0,-8,2020-21
803,Eric Bledsoe,NOP,@UTA,2021-01-19,L,24,9,3,9,33.3,2,4,50.0,1,2,50.0,1,3,4,2,0,0,1,1,-19,2020-21
804,Nickeil Alexander-Walker,NOP,@UTA,2021-01-19,L,31,9,4,13,30.8,1,6,16.7,0,0,-,0,5,5,2,2,1,2,1,-13,2020-21
805,Jaxson Hayes,NOP,@UTA,2021-01-19,L,15,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,1,3,-17,2020-21
806,Zion Williamson,NOP,@UTA,2021-01-19,L,35,32,14,19,73.7,0,1,0.0,4,6,66.7,1,4,5,3,1,0,2,4,-8,2020-21
807,Josh Hart,NOP,@UTA,2021-01-19,L,25,8,3,5,60.0,2,3,66.7,0,0,-,0,5,5,1,1,0,0,2,-7,2020-21
808,Georges Niang,UTA,vs.NOP,2021-01-19,W,13,10,4,8,50.0,2,5,40.0,0,0,-,0,1,1,1,0,0,2,0,-2,2020-21
809,Joe Ingles,UTA,vs.NOP,2021-01-19,W,19,15,5,6,83.3,5,6,83.3,0,0,-,1,2,3,2,0,1,0,1,12,2020-21
810,Jordan Clarkson,UTA,vs.NOP,2021-01-19,W,29,18,6,15,40.0,4,9,44.4,2,2,100,0,6,6,6,0,0,1,2,3,2020-21
811,Rudy Gobert,UTA,vs.NOP,2021-01-19,W,30,13,6,8,75.0,0,0,-,1,6,16.7,6,12,18,1,1,3,0,1,22,2020-21
812,Mike Conley,UTA,vs.NOP,2021-01-19,W,28,6,2,7,28.6,1,5,20.0,1,1,100,1,1,2,10,2,0,2,1,26,2020-21
813,JJ Redick,NOP,@UTA,2021-01-19,L,15,6,2,6,33.3,1,4,25.0,1,1,100,0,2,2,0,0,0,0,0,-2,2020-21
814,Facundo Campazzo,DEN,vs.OKC,2021-01-19,W,18,3,1,6,16.7,1,3,33.3,0,0,-,0,0,0,1,1,0,1,2,8,2020-21
815,Markus Howard,DEN,vs.OKC,2021-01-19,W,4,2,1,4,25.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,1,-5,2020-21
816,Zeke Nnaji,DEN,vs.OKC,2021-01-19,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-11,2020-21
817,R.J. Hampton,DEN,vs.OKC,2021-01-19,W,7,2,0,2,0.0,0,0,-,2,2,100,0,2,2,0,0,0,1,0,-11,2020-21
818,Bol Bol,DEN,vs.OKC,2021-01-19,W,7,2,1,3,33.3,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-11,2020-21
819,George Hill,OKC,@DEN,2021-01-19,L,22,6,2,5,40.0,2,3,66.7,0,0,-,0,0,0,2,0,0,1,0,-12,2020-21
820,Darius Miller,OKC,@DEN,2021-01-19,L,7,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,1,0,0,0,1,11,2020-21
821,Justin Jackson,OKC,@DEN,2021-01-19,L,7,9,3,3,100,2,2,100,1,2,50.0,0,2,2,0,1,0,0,1,8,2020-21
822,Shai Gilgeous-Alexander,OKC,@DEN,2021-01-19,L,27,14,5,11,45.5,1,4,25.0,3,6,50.0,0,5,5,7,0,1,4,0,-19,2020-21
823,Kenrich Williams,OKC,@DEN,2021-01-19,L,6,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-8,2020-21
824,Darius Bazley,OKC,@DEN,2021-01-19,L,24,12,5,11,45.5,2,7,28.6,0,0,-,1,1,2,0,0,2,1,0,-10,2020-21
825,Moses Brown,OKC,@DEN,2021-01-19,L,6,6,2,2,100,0,0,-,2,2,100,0,2,2,0,0,0,0,1,0,2020-21
826,Luguentz Dort,OKC,@DEN,2021-01-19,L,25,20,8,11,72.7,3,6,50.0,1,2,50.0,0,5,5,3,1,0,0,1,-10,2020-21
827,Isaiah Roby,OKC,@DEN,2021-01-19,L,26,10,3,9,33.3,1,3,33.3,3,3,100,6,3,9,3,4,0,3,3,-18,2020-21
828,JaMychal Green,DEN,vs.OKC,2021-01-19,W,17,10,4,12,33.3,2,5,40.0,0,0,-,4,4,8,1,0,1,2,3,8,2020-21
829,Mike Muscala,OKC,@DEN,2021-01-19,L,14,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,2,3,-5,2020-21
830,Isaiah Hartenstein,DEN,vs.OKC,2021-01-19,W,13,5,1,2,50.0,0,0,-,3,3,100,1,6,7,0,1,0,0,3,17,2020-21
831,PJ Dozier,DEN,vs.OKC,2021-01-19,W,19,11,3,7,42.9,2,5,40.0,3,3,100,1,1,2,0,1,0,1,0,11,2020-21
832,Monte Morris,DEN,vs.OKC,2021-01-19,W,21,15,7,11,63.6,1,4,25.0,0,0,-,1,3,4,5,0,0,1,0,22,2020-21
833,Hamidou Diallo,OKC,@DEN,2021-01-19,L,19,8,2,8,25.0,1,2,50.0,3,5,60.0,2,4,6,0,0,0,1,2,-14,2020-21
834,Theo Maledon,OKC,@DEN,2021-01-19,L,21,7,3,7,42.9,1,4,25.0,0,0,-,0,3,3,3,1,0,2,1,-11,2020-21
835,Aleksej Pokusevski,OKC,@DEN,2021-01-19,L,24,0,0,7,0.0,0,5,0.0,0,0,-,0,4,4,2,1,1,3,1,-8,2020-21
836,Josh Hall,OKC,@DEN,2021-01-19,L,13,6,2,5,40.0,0,2,0.0,2,3,66.7,0,2,2,1,0,0,2,1,6,2020-21
837,Paul Millsap,DEN,vs.OKC,2021-01-19,W,26,13,5,10,50.0,2,5,40.0,1,2,50.0,4,8,12,3,2,1,1,3,21,2020-21
838,Will Barton,DEN,vs.OKC,2021-01-19,W,25,13,5,7,71.4,3,4,75.0,0,0,-,0,3,3,6,1,0,4,2,15,2020-21
839,Gary Harris,DEN,vs.OKC,2021-01-19,W,26,11,4,9,44.4,3,6,50.0,0,0,-,2,1,3,3,1,0,1,2,20,2020-21
840,Nikola Jokic,DEN,vs.OKC,2021-01-19,W,28,27,12,21,57.1,0,4,0.0,3,3,100,5,7,12,6,1,1,1,2,12,2020-21
841,Jamal Murray,DEN,vs.OKC,2021-01-19,W,21,5,2,10,20.0,0,3,0.0,1,1,100,0,2,2,4,2,0,1,2,2,2020-21
842,Vlatko Cancar,DEN,vs.OKC,2021-01-19,W,4,0,0,1,0.0,0,1,0.0,0,0,-,0,2,2,0,1,0,0,1,-8,2020-21
843,Dwayne Bacon,ORL,@NYK,2021-01-18,L,27,2,1,7,14.3,0,3,0.0,0,0,-,0,1,1,1,0,0,1,5,-19,2020-21
844,Immanuel Quickley,NYK,vs.ORL,2021-01-18,W,15,11,4,10,40.0,1,3,33.3,2,2,100,0,1,1,2,0,0,0,2,-13,2020-21
845,Obi Toppin,NYK,vs.ORL,2021-01-18,W,9,2,1,3,33.3,0,2,0.0,0,0,-,0,1,1,1,0,0,0,1,-8,2020-21
846,Jordan Bone,ORL,@NYK,2021-01-18,L,12,5,2,2,100,1,1,100,0,0,-,0,0,0,0,0,0,1,1,-1,2020-21
847,Kevin Knox II,NYK,vs.ORL,2021-01-18,W,10,2,0,4,0.0,0,3,0.0,2,2,100,0,0,0,0,1,0,0,0,-9,2020-21
848,Nerlens Noel,NYK,vs.ORL,2021-01-18,W,14,0,0,1,0.0,0,1,0.0,0,0,-,1,3,4,0,1,2,1,0,-6,2020-21
849,Austin Rivers,NYK,vs.ORL,2021-01-18,W,18,2,0,4,0.0,0,1,0.0,2,4,50.0,0,5,5,1,0,0,0,3,-2,2020-21
850,James Ennis III,ORL,@NYK,2021-01-18,L,24,5,2,6,33.3,1,4,25.0,0,0,-,0,2,2,2,1,2,1,4,9,2020-21
851,Terrence Ross,ORL,@NYK,2021-01-18,L,33,19,5,16,31.3,4,8,50.0,5,6,83.3,0,3,3,3,0,1,3,3,-3,2020-21
852,Reggie Bullock,NYK,vs.ORL,2021-01-18,W,30,13,4,11,36.4,2,8,25.0,3,3,100,0,3,3,2,1,0,1,0,9,2020-21
853,Elfrid Payton,NYK,vs.ORL,2021-01-18,W,33,12,6,11,54.5,0,0,-,0,0,-,2,0,2,4,2,0,1,1,20,2020-21
854,Aaron Gordon,ORL,@NYK,2021-01-18,L,36,18,6,18,33.3,2,7,28.6,4,4,100,7,10,17,10,0,2,4,2,15,2020-21
855,Julius Randle,NYK,vs.ORL,2021-01-18,W,39,21,5,19,26.3,2,6,33.3,9,13,69.2,3,14,17,1,0,0,0,4,15,2020-21
856,Mitchell Robinson,NYK,vs.ORL,2021-01-18,W,34,6,2,5,40.0,0,0,-,2,6,33.3,5,5,10,0,1,1,0,3,13,2020-21
857,RJ Barrett,NYK,vs.ORL,2021-01-18,W,38,22,9,19,47.4,0,3,0.0,4,4,100,2,8,10,4,0,1,3,2,16,2020-21
858,Khem Birch,ORL,@NYK,2021-01-18,L,25,5,1,4,25.0,0,0,-,3,4,75.0,1,6,7,1,2,0,0,2,-23,2020-21
859,Gary Clark,ORL,@NYK,2021-01-18,L,19,0,0,5,0.0,0,5,0.0,0,0,-,0,2,2,0,0,1,0,1,4,2020-21
860,Cole Anthony,ORL,@NYK,2021-01-18,L,28,6,2,12,16.7,2,5,40.0,0,0,-,0,5,5,1,1,1,1,3,-14,2020-21
861,Nikola Vucevic,ORL,@NYK,2021-01-18,L,36,24,10,16,62.5,2,5,40.0,2,2,100,2,12,14,0,0,2,0,3,-3,2020-21
862,Draymond Green,GSW,@LAL,2021-01-18,W,31,7,3,6,50.0,1,2,50.0,0,0,-,0,8,8,9,1,0,3,5,-8,2020-21
863,Stephen Curry,GSW,@LAL,2021-01-18,W,36,26,8,22,36.4,3,12,25.0,7,7,100,0,1,1,7,1,0,4,2,-3,2020-21
864,Andrew Wiggins,GSW,@LAL,2021-01-18,W,32,18,7,11,63.6,3,5,60.0,1,3,33.3,0,3,3,1,1,0,0,4,-8,2020-21
865,Kevon Looney,GSW,@LAL,2021-01-18,W,19,7,3,3,100,1,1,100,0,0,-,1,5,6,1,0,0,0,3,12,2020-21
866,Jordan Poole,GSW,@LAL,2021-01-18,W,5,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,0,0,0,0,10,2020-21
867,James Wiseman,GSW,@LAL,2021-01-18,W,13,4,2,4,50.0,0,0,-,0,0,-,0,3,3,0,1,1,5,5,-19,2020-21
868,Marc Gasol,LAL,vs.GSW,2021-01-18,L,16,5,2,5,40.0,1,2,50.0,0,0,-,0,1,1,1,1,0,2,1,4,2020-21
869,Kentavious Caldwell-Pope,LAL,vs.GSW,2021-01-18,L,23,4,1,3,33.3,1,3,33.3,1,1,100,1,2,3,2,0,0,1,2,-2,2020-21
870,Dennis Schroder,LAL,vs.GSW,2021-01-18,L,33,25,8,15,53.3,1,5,20.0,8,9,88.9,1,4,5,3,2,0,3,3,7,2020-21
871,Anthony Davis,LAL,vs.GSW,2021-01-18,L,37,17,6,16,37.5,0,1,0.0,5,7,71.4,5,12,17,7,2,3,1,3,12,2020-21
872,Markieff Morris,LAL,vs.GSW,2021-01-18,L,6,1,0,1,0.0,0,0,-,1,2,50.0,0,0,0,0,0,0,1,1,-12,2020-21
873,LeBron James,LAL,vs.GSW,2021-01-18,L,38,19,6,16,37.5,2,7,28.6,5,8,62.5,0,5,5,5,1,0,5,1,-9,2020-21
874,Wesley Matthews,LAL,vs.GSW,2021-01-18,L,15,3,1,3,33.3,0,1,0.0,1,1,100,0,0,0,0,0,0,0,2,-6,2020-21
875,Brad Wanamaker,GSW,@LAL,2021-01-18,W,17,4,2,5,40.0,0,1,0.0,0,0,-,1,0,1,5,0,0,1,2,8,2020-21
876,Kent Bazemore,GSW,@LAL,2021-01-18,W,13,4,1,3,33.3,1,3,33.3,1,2,50.0,0,1,1,2,0,0,0,1,2,2020-21
877,Montrezl Harrell,LAL,vs.GSW,2021-01-18,L,28,17,7,8,87.5,0,0,-,3,5,60.0,2,6,8,1,0,2,0,2,2,2020-21
878,Kelly Oubre Jr.,GSW,@LAL,2021-01-18,W,37,23,9,18,50.0,2,8,25.0,3,4,75.0,2,2,4,0,2,2,0,2,5,2020-21
879,Damion Lee,GSW,@LAL,2021-01-18,W,18,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,2,1,0,0,2,10,2020-21
880,Alex Caruso,LAL,vs.GSW,2021-01-18,L,20,7,3,5,60.0,1,3,33.3,0,0,-,1,0,1,4,0,0,1,3,7,2020-21
881,Kyle Kuzma,LAL,vs.GSW,2021-01-18,L,25,15,6,11,54.5,3,7,42.9,0,0,-,2,8,10,0,0,0,2,4,-13,2020-21
882,Eric Paschall,GSW,@LAL,2021-01-18,W,19,19,8,11,72.7,0,1,0.0,3,4,75.0,1,3,4,3,1,0,0,1,1,2020-21
883,Duncan Robinson,MIA,vs.DET,2021-01-18,W,36,18,6,9,66.7,6,9,66.7,0,0,-,0,3,3,3,0,0,3,2,8,2020-21
884,Gabe Vincent,MIA,vs.DET,2021-01-18,W,9,3,1,3,33.3,1,2,50.0,0,0,-,0,1,1,1,0,0,0,0,9,2020-21
885,Kendrick Nunn,MIA,vs.DET,2021-01-18,W,34,18,8,15,53.3,2,4,50.0,0,0,-,1,4,5,3,2,1,2,3,17,2020-21
886,Svi Mykhailiuk,DET,@MIA,2021-01-18,L,13,0,0,3,0.0,0,2,0.0,0,0,-,2,2,4,4,2,0,1,2,3,2020-21
887,Bam Adebayo,MIA,vs.DET,2021-01-18,W,35,28,9,15,60.0,0,1,0.0,10,11,90.9,2,9,11,5,2,1,7,5,5,2020-21
888,Josh Jackson,DET,@MIA,2021-01-18,L,21,12,5,11,45.5,2,6,33.3,0,1,0.0,0,0,0,0,0,1,1,0,-27,2020-21
889,Andre Iguodala,MIA,vs.DET,2021-01-18,W,21,4,1,3,33.3,0,2,0.0,2,2,100,0,3,3,2,2,0,1,1,4,2020-21
890,Derrick Rose,DET,@MIA,2021-01-18,L,27,21,6,11,54.5,1,4,25.0,8,9,88.9,0,3,3,4,2,0,3,1,-6,2020-21
891,Goran Dragic,MIA,vs.DET,2021-01-18,W,33,22,9,15,60.0,1,5,20.0,3,4,75.0,0,3,3,3,0,1,3,3,-7,2020-21
892,Blake Griffin,DET,@MIA,2021-01-18,L,36,5,2,8,25.0,1,6,16.7,0,0,-,1,4,5,1,0,0,2,3,9,2020-21
893,Kelly Olynyk,MIA,vs.DET,2021-01-18,W,25,9,4,8,50.0,1,5,20.0,0,0,-,0,3,3,3,0,2,2,3,-4,2020-21
894,Mason Plumlee,DET,@MIA,2021-01-18,L,35,15,7,10,70.0,0,0,-,1,3,33.3,4,3,7,4,2,0,2,6,8,2020-21
895,Maurice Harkless,MIA,vs.DET,2021-01-18,W,30,3,1,2,50.0,1,2,50.0,0,0,-,0,2,2,3,2,1,0,3,11,2020-21
896,Isaiah Stewart,DET,@MIA,2021-01-18,L,12,0,0,1,0.0,0,0,-,0,0,-,1,1,2,1,0,1,0,2,-14,2020-21
897,Saddiq Bey,DET,@MIA,2021-01-18,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,1,-6,2020-21
898,Sekou Doumbouya,DET,@MIA,2021-01-18,L,10,1,0,2,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,0,2,1,-12,2020-21
899,Delon Wright,DET,@MIA,2021-01-18,L,21,2,1,4,25.0,0,0,-,0,0,-,1,2,3,2,2,0,0,0,-2,2020-21
900,Jerami Grant,DET,@MIA,2021-01-18,L,34,27,10,19,52.6,2,6,33.3,5,5,100,1,3,4,6,0,1,2,4,-2,2020-21
901,Wayne Ellington,DET,@MIA,2021-01-18,L,28,24,7,12,58.3,7,11,63.6,3,4,75.0,0,2,2,2,0,0,2,3,19,2020-21
902,Precious Achiuwa,MIA,vs.DET,2021-01-18,W,13,8,4,5,80.0,0,0,-,0,2,0.0,2,3,5,0,0,0,0,5,-1,2020-21
903,KZ Okpala,MIA,vs.DET,2021-01-18,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-12,2020-21
904,Victor Oladipo,HOU,@CHI,2021-01-18,L,32,32,13,23,56.5,4,9,44.4,2,4,50.0,0,5,5,9,2,0,7,3,3,2020-21
905,Christian Wood,HOU,@CHI,2021-01-18,L,31,30,11,16,68.8,3,5,60.0,5,6,83.3,0,9,9,1,1,0,3,3,15,2020-21
906,David Nwaba,HOU,@CHI,2021-01-18,L,21,7,3,5,60.0,1,3,33.3,0,0,-,0,2,2,1,4,0,1,3,1,2020-21
907,Thaddeus Young,CHI,vs.HOU,2021-01-18,W,25,12,5,11,45.5,1,2,50.0,1,2,50.0,5,4,9,3,1,0,1,1,15,2020-21
908,DeMarcus Cousins,HOU,@CHI,2021-01-18,L,16,2,0,7,0.0,0,5,0.0,2,2,100,1,5,6,4,0,0,2,3,-17,2020-21
909,Ben McLemore,HOU,@CHI,2021-01-18,L,28,5,2,6,33.3,1,2,50.0,0,0,-,1,2,3,1,0,0,1,1,-16,2020-21
910,Denzel Valentine,CHI,vs.HOU,2021-01-18,W,24,13,5,13,38.5,3,6,50.0,0,0,-,0,8,8,3,0,0,1,0,14,2020-21
911,Coby White,CHI,vs.HOU,2021-01-18,W,32,10,4,12,33.3,2,7,28.6,0,0,-,1,3,4,4,2,0,3,4,2,2020-21
912,Mason Jones,HOU,@CHI,2021-01-18,L,14,10,3,4,75.0,2,3,66.7,2,4,50.0,0,0,0,2,1,0,0,0,-12,2020-21
913,Jae'Sean Tate,HOU,@CHI,2021-01-18,L,30,11,4,8,50.0,3,5,60.0,0,0,-,0,6,6,0,0,1,1,4,-12,2020-21
914,Eric Gordon,HOU,@CHI,2021-01-18,L,34,21,9,17,52.9,3,7,42.9,0,1,0.0,0,2,2,4,0,0,1,0,6,2020-21
915,P.J. Tucker,HOU,@CHI,2021-01-18,L,34,2,1,2,50.0,0,1,0.0,0,0,-,0,3,3,3,0,0,1,3,7,2020-21
916,Adam Mokoka,CHI,vs.HOU,2021-01-18,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-7,2020-21
917,Daniel Gafford,CHI,vs.HOU,2021-01-18,W,16,7,2,5,40.0,0,0,-,3,3,100,1,2,3,1,1,2,0,2,5,2020-21
918,Wendell Carter Jr.,CHI,vs.HOU,2021-01-18,W,21,10,4,7,57.1,0,0,-,2,2,100,3,5,8,1,1,0,3,2,-4,2020-21
919,Lauri Markkanen,CHI,vs.HOU,2021-01-18,W,34,18,5,12,41.7,4,11,36.4,4,4,100,0,7,7,0,2,0,2,3,-6,2020-21
920,Ryan Arcidiacono,CHI,vs.HOU,2021-01-18,W,17,9,3,7,42.9,3,4,75.0,0,0,-,0,2,2,2,0,0,0,3,10,2020-21
921,Zach LaVine,CHI,vs.HOU,2021-01-18,W,37,33,11,16,68.8,4,8,50.0,7,8,87.5,0,4,4,7,2,1,5,2,-3,2020-21
922,Garrett Temple,CHI,vs.HOU,2021-01-18,W,32,13,4,9,44.4,3,7,42.9,2,2,100,0,2,2,2,1,0,2,2,-1,2020-21
923,Nate Hinton,DAL,@TOR,2021-01-18,L,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,1,1,0,-5,2020-21
924,Kyle Lowry,TOR,vs.DAL,2021-01-18,W,35,23,9,12,75.0,3,5,60.0,2,2,100,1,8,9,7,0,1,4,2,15,2020-21
925,Aron Baynes,TOR,vs.DAL,2021-01-18,W,11,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,3,0,2020-21
926,Stanley Johnson,TOR,vs.DAL,2021-01-18,W,21,6,2,3,66.7,1,2,50.0,1,2,50.0,1,2,3,0,0,1,0,1,-3,2020-21
927,DeAndre' Bembry,TOR,vs.DAL,2021-01-18,W,2,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,1,0,1,0,5,2020-21
928,Pascal Siakam,TOR,vs.DAL,2021-01-18,W,34,19,7,19,36.8,0,4,0.0,5,5,100,0,3,3,5,0,0,3,2,13,2020-21
929,Paul Watson,TOR,vs.DAL,2021-01-18,W,2,3,1,1,100,1,1,100,0,0,-,0,2,2,0,0,0,0,0,5,2020-21
930,Yuta Watanabe,TOR,vs.DAL,2021-01-18,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5,2020-21
931,Matt Thomas,TOR,vs.DAL,2021-01-18,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,5,2020-21
932,Malachi Flynn,TOR,vs.DAL,2021-01-18,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,0,0,5,2020-21
933,Trey Burke,DAL,@TOR,2021-01-18,L,26,17,5,11,45.5,2,6,33.3,5,5,100,0,0,0,3,2,0,0,2,-16,2020-21
934,Tim Hardaway Jr.,DAL,@TOR,2021-01-18,L,27,0,0,12,0.0,0,6,0.0,0,0,-,1,4,5,1,0,0,2,1,-12,2020-21
935,James Johnson,DAL,@TOR,2021-01-18,L,27,15,6,11,54.5,2,6,33.3,1,1,100,0,6,6,2,0,1,2,3,-20,2020-21
936,Josh Green,DAL,@TOR,2021-01-18,L,19,4,2,2,100,0,0,-,0,0,-,1,2,3,2,0,0,0,0,-16,2020-21
937,Terence Davis,TOR,vs.DAL,2021-01-18,W,12,6,3,5,60.0,0,1,0.0,0,0,-,0,1,1,0,0,0,1,5,2,2020-21
938,Chris Boucher,TOR,vs.DAL,2021-01-18,W,28,21,8,12,66.7,2,5,40.0,3,3,100,4,6,10,2,1,3,1,4,19,2020-21
939,OG Anunoby,TOR,vs.DAL,2021-01-18,W,33,13,5,12,41.7,3,5,60.0,0,0,-,3,8,11,0,2,1,1,1,11,2020-21
940,Fred VanVleet,TOR,vs.DAL,2021-01-18,W,34,6,2,10,20.0,1,6,16.7,1,1,100,0,4,4,6,4,0,2,3,18,2020-21
941,Norman Powell,TOR,vs.DAL,2021-01-18,W,22,17,6,11,54.5,1,3,33.3,4,5,80.0,0,2,2,2,1,0,1,2,15,2020-21
942,Kristaps Porzingis,DAL,@TOR,2021-01-18,L,32,23,8,14,57.1,2,5,40.0,5,7,71.4,4,5,9,1,0,2,1,2,-9,2020-21
943,Willie Cauley-Stein,DAL,@TOR,2021-01-18,L,19,6,2,5,40.0,0,0,-,2,4,50.0,0,3,3,0,1,0,3,4,-3,2020-21
944,Boban Marjanovic,DAL,@TOR,2021-01-18,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,-4,2020-21
945,Wes Iwundu,DAL,@TOR,2021-01-18,L,17,0,0,4,0.0,0,4,0.0,0,0,-,0,2,2,1,1,0,0,1,-8,2020-21
946,Jalen Brunson,DAL,@TOR,2021-01-18,L,27,13,4,10,40.0,3,4,75.0,2,2,100,0,2,2,2,1,0,3,3,-3,2020-21
